Model_1	Model_2	Annotator_1	Annotator_2	V	Chambre	Emplacement	Rapport qualité-prix	Ambiance	Personnel
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_13@mail.com	sample	0.8437453048091802	0.8916183855505967	0.616883256874409	0.7220247662053669	0.9116026537566628
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_3@mail.com	sample	0.7683554367625004	0.8239223338736178	0.5892241078302213	0.6507716128043439	0.9340010394610467
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_4@mail.com	sample	0.8685982015040297	0.8504214373764715	0.5928055483789646	0.6478778239273543	0.9247267093814815
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_10@mail.com	sample	0.7825681966124313	0.876568009822642	0.5706409317731896	0.6221230145042	0.9468946672323363
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_8@mail.com	sample	0.7631277548076704	0.8235400725883877	0.6308531770404823	0.5571630326278623	0.9290153741987309
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_1@mail.com	sample	0.810816242254164	0.8402215951585356	0.6263007447061557	0.6676734457562286	0.9442500487830068
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_7@mail.com	sample	0.7599834039864055	0.806024402048193	0.5467601430913834	0.43293308876560915	0.8695856111979994
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_5@mail.com	sample	0.781410626468969	0.8135981926520793	0.6401452502184082	0.5412092154617643	0.9461049117744997
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_6@mail.com	sample	0.8368974509185196	0.8632414069457772	0.5931020074757283	0.5778497164314154	0.9413430448384039
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_9@mail.com	sample	0.7735010916642907	0.8290211884443702	0.6195741598877551	0.5855371240631178	0.9208450514065559
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_12@mail.com	sample	0.8011948315723914	0.8201401726474383	0.6470377126947585	0.6995726386271489	0.9248170069736138
Llama-3.3-70B-Instruct-FP8	Mistral-Small-3.2-24B-Instruct-2506	annotator_13@mail.com	annotator_11@mail.com	sample	0.8451659386513122	0.8238956431276181	0.6096197451751806	0.5982442163843105	0.922650730165893
